post_id,title,date,type,audience,delivered,opened,unique_openers,open_rate
"184577140","Flipped Food Pyramid Debrief","2026-01-16","podcast","everyone",2168,1158,716,33.03
"184534416","Part I - ChatGPT for Healthcare ""Mind Blown""","2026-01-14","podcast","everyone",2110,1764,993,47.06
"184494257","last minute livestream now","2026-01-13","newsletter","everyone",2095,1266,871,41.58
"184391027","Join Our Flipped Food Pyramid Chronicles Livestream tomorrow","2026-01-13","newsletter","everyone",2084,1390,926,44.43
"184159117","First Principles Decomposition: Why Capital Flows to Drugs Over Food","2026-01-12","newsletter","everyone",2068,1522,918,44.39
"183979512","New Food Pyramid = Design Challenge ","2026-01-09","newsletter","everyone",1991,1546,948,47.61
"183860542","A Flipped Food Pyramid and ChatGPT Health","2026-01-08","newsletter","everyone",1975,2045,945,47.85
"183602861","Healthcare's Nutrition Blindspot Is A Strategic Advantage For Innovators","2026-01-07","newsletter","everyone",1960,1640,934,47.65
"183450025","2026 Predictions (and Ramblings)","2026-01-04","podcast","everyone",1903,1771,970,50.97
"183200196","Join Our Livestream Friday January 2nd @11am ET","2026-01-01","newsletter","everyone",1863,1589,879,47.18
"181532818","THE HEALER’S JOURNEY","2026-01-01","podcast","everyone",1862,1626,856,45.97
"182029369","First Principles for Fixing Healthcare Cost","2025-12-20","newsletter","everyone",1723,1493,826,47.94
"181899505","ACA Subsidies Helped Fund A Chronic Disease Epidemic","2025-12-18","newsletter","everyone",1713,1658,849,49.56
"181373328","Recording of Live Debrief with Carter & Ellen","2025-12-12","podcast","everyone",1527,1236,748,48.98
"181373353","LIVESTREAM DEBRIEF Friday at 11am EST to Discuss the New Programs Dropping Daily","2025-12-11","newsletter","everyone",1512,2102,756,50
"178662448","Meanwhile In D.C. A $10-20 Billion Market Is Unfolding","2025-12-10","newsletter","everyone",1499,3164,781,52.1
"181102989","System B's Definition of ""Nutrient Density"" & ""Affordable Nutrition","2025-12-09","newsletter","everyone",1489,1314,755,50.71
"180787354","The New CMS ACCESS Model","2025-12-05","newsletter","everyone",1468,1704,714,48.64
"180555946","Is UPF the Next Tobacco?","2025-12-03","newsletter","everyone",1449,1447,743,51.28
"180458234","Primary Prevention - The Untapped Multi-trillion Market","2025-12-02","newsletter","everyone",1442,1346,662,45.91
"179990335","American College of Lifestyle Medicine During & After","2025-11-26","podcast","everyone",1425,1306,743,52.14
"179869371","Redistributing the Dollars for Human Health","2025-11-25","newsletter","everyone",1424,1400,722,50.7
"179489938","Healthcare's Price Signal Problem","2025-11-21","newsletter","everyone",1416,1324,716,50.56
"178783996","ACLM2025 Virtual Attendance Subscriber Giveaway ","2025-11-14","newsletter","everyone",1388,1275,708,51.01
"178499399","The Healthcare Fix That Makes Health Profitable","2025-11-10","newsletter","everyone",1380,1336,702,50.87
"178385640","Data for the weekend: November 8, 2025 - Healthcare Cost","2025-11-09","newsletter","everyone",1380,1290,678,49.13
"178162690","Will Part of Our Health Remain A Mystery?","2025-11-06","newsletter","everyone",1368,1231,683,49.93
"177929824","Will January 1st Be The Day Healthcare Died?","2025-11-04","newsletter","everyone",1363,1164,696,51.06
"177261519","Data for the weekend: Oct 31, 2025","2025-11-01","newsletter","everyone",1356,1233,730,53.83
"177398894","Houston We Have A Problem","2025-10-29","newsletter","everyone",1341,1268,669,49.89
"177146251","How AI Is Forcing a Century of Food R&D to Compete on Human Outcomes","2025-10-28","newsletter","everyone",1338,1067,609,45.52
"177041156","Data for the weekend: Oct 24, 2025","2025-10-25","newsletter","everyone",1327,1391,688,51.85
"176970598","Initial Market Signals From HLTH 2025 Conference","2025-10-24","newsletter","everyone",1324,1340,695,52.49
"176226169","How to Turn $80 Billion of Food Innovation Into a $3.6 Trillion Market","2025-10-17","newsletter","everyone",1303,1508,677,51.96
"176423695","We’re Heading to HLTH 2025 Expanding the “Food is Health” Network","2025-10-17","newsletter","only_paid",59,73,33,55.93
"176286756","Headed to HLTH 2025 - Rise of the Resistance","2025-10-16","podcast","everyone",1297,1199,670,51.66
"176231475","Webinar Today on Florida Farms to Food: Movers & Shakers","2025-10-15","newsletter","everyone",1294,1223,659,50.93
"176068168","Initial Insights - Tufts Food Is Medicine National Summit","2025-10-14","newsletter","everyone",1292,1473,681,52.71
"175833396","Special Sunday Bonus Edition: Resources for $50B Rural Health Transformation Funding Opportunity ","2025-10-12","podcast","everyone",1286,2155,676,52.57
"174933454","🥑Data for the weekend: Oct 10, 2025","2025-10-10","newsletter","everyone",1285,1139,646,50.27
"175708887","Rural Health Grants: Webinar","2025-10-09","newsletter","everyone",1283,2686,638,49.73
"175581334","Tactics for Supporting States for Rural Health Transformation Funding","2025-10-08","newsletter","everyone",1278,1150,643,50.31
"175488450","$50B Rural Health Transformation Spitball","2025-10-07","podcast","everyone",1273,1113,628,49.33
"175225325","$50B for Rural Health: 20+ Opportunities States Shouldn’t Miss","2025-10-04","newsletter","everyone",1273,1615,648,50.9
"174752435","Eat like the person you want to be","2025-10-03","newsletter","everyone",1273,1157,640,50.27
"175055451","Work in Progress: Principles of the Food is Health Revolution","2025-10-02","newsletter","everyone",1272,1100,629,49.45
"175057513","New for Our Subscribers: Bring Us Your Food is Health Revolution","2025-10-01","newsletter","everyone",1271,1127,616,48.47
"174981223","Live from Sovereignty Ranch Food Is Medicine","2025-10-01","podcast","everyone",1267,1060,627,49.49
"174565826","A Beacon of Delusional Optimism","2025-09-26","newsletter","everyone",1262,1111,645,51.11
"174480305","On The Road Wellness Debrief","2025-09-25","podcast","everyone",1259,2007,629,49.96
"174382762","How To: Food is Health Long/Short Hedge Fund","2025-09-24","newsletter","everyone",1259,1238,637,50.6
